loan_term_months,base_default_prob,n_borrowers,principal,replication,steps_run,defaulted_share,roi,default_rate
24,0.01,60,10000.0,0,27,0.0,0.1937051947988265,0.0
24,0.01,60,10000.0,1,27,0.0,0.18848766823232233,0.0
24,0.01,60,10000.0,2,26,0.0,0.1776761314232209,0.0
24,0.01,60,10000.0,3,28,0.0,0.20703325319711022,0.0
24,0.01,60,10000.0,4,27,0.0,0.18322837275708947,0.0
24,0.03,60,10000.0,0,31,0.0,0.1937051947988265,0.0
24,0.03,60,10000.0,1,29,0.007437595930186151,0.179648177188001,0.016666666666666666
24,0.03,60,10000.0,2,30,0.0023006227426278264,0.1749667429318186,0.016666666666666666
24,0.03,60,10000.0,3,32,0.015198341305009393,0.18868834984852487,0.03333333333333333
24,0.03,60,10000.0,4,31,0.0,0.18322837275708947,0.0
24,0.05,60,10000.0,0,32,0.028280979929020483,0.1599460421435533,0.1
24,0.05,60,10000.0,1,35,0.029968916153861484,0.15286998095316967,0.05
24,0.05,60,10000.0,2,32,0.010586117447050113,0.165209113581387,0.016666666666666666
24,0.05,60,10000.0,3,34,0.026621896496198956,0.17489973886302654,0.06666666666666667
24,0.05,60,10000.0,4,34,0.017593810278771483,0.1624108772503416,0.05
24,0.08,60,10000.0,0,38,0.10332816747005545,0.07036182452077822,0.2
24,0.08,60,10000.0,1,35,0.09672314379735365,0.07353340459650576,0.15
24,0.08,60,10000.0,2,34,0.11976894241504453,0.03662710665522085,0.21666666666666667
24,0.08,60,10000.0,3,36,0.11954619812996409,0.0627370167609537,0.25
24,0.08,60,10000.0,4,35,0.12853038718732976,0.031147571875586484,0.25
24,0.12,60,10000.0,0,41,0.22117826417548278,-0.0703164481240346,0.4
24,0.12,60,10000.0,1,38,0.330371951135056,-0.20415532162154307,0.5333333333333333
24,0.12,60,10000.0,2,38,0.2899897074363043,-0.16383782538291747,0.4166666666666667
24,0.12,60,10000.0,3,44,0.37261838928720914,-0.24272953342529663,0.5666666666666667
24,0.12,60,10000.0,4,36,0.33296643270358417,-0.2107469575935055,0.5
36,0.01,60,10000.0,0,41,0.0,0.2957940436069943,0.0
36,0.01,60,10000.0,1,40,0.0,0.28778528451805,0.0
36,0.01,60,10000.0,2,40,0.0,0.2707947264582815,0.0
36,0.01,60,10000.0,3,40,0.0,0.31636636189798706,0.0
36,0.01,60,10000.0,4,40,0.0,0.2794624991535768,0.0
36,0.03,60,10000.0,0,43,0.0065182670357949455,0.2873477120073714,0.016666666666666666
36,0.03,60,10000.0,1,47,0.013881560471933672,0.26990881521614635,0.03333333333333333
36,0.03,60,10000.0,2,44,0.007991381708319097,0.2606393207262344,0.016666666666666666
36,0.03,60,10000.0,3,47,0.021196966562508097,0.2884633881408248,0.03333333333333333
36,0.03,60,10000.0,4,44,0.0,0.2794624991535768,0.0
36,0.05,60,10000.0,0,48,0.0435594281185182,0.23934999610809124,0.1
36,0.05,60,10000.0,1,51,0.03763210423202632,0.23932321446259738,0.05
36,0.05,60,10000.0,2,47,0.0315789760388645,0.23066433024114016,0.06666666666666667
36,0.05,60,10000.0,3,51,0.04530087964675487,0.25673380776660965,0.08333333333333333
36,0.05,60,10000.0,4,49,0.03354592931698041,0.23654174059324393,0.08333333333333333
36,0.08,60,10000.0,0,49,0.17912138833133592,0.06368961552463374,0.35
36,0.08,60,10000.0,1,55,0.14503797153746165,0.10100751907575933,0.26666666666666666
36,0.08,60,10000.0,2,51,0.14935380136433013,0.0809967033079932,0.21666666666666667
36,0.08,60,10000.0,3,56,0.19083985563899097,0.06515119542535161,0.35
36,0.08,60,10000.0,4,57,0.17053164850162703,0.06127364997690544,0.2833333333333333
36,0.12,60,10000.0,0,57,0.3340407586062897,-0.1370539817169977,0.5833333333333334
36,0.12,60,10000.0,1,58,0.4144191089017901,-0.24589754554875834,0.5833333333333334
36,0.12,60,10000.0,2,56,0.3575289683484442,-0.18355120107499134,0.48333333333333334
36,0.12,60,10000.0,3,58,0.48843200219762584,-0.3265890958694506,0.7333333333333333
36,0.12,60,10000.0,4,52,0.420616369405457,-0.25870037203083357,0.5833333333333334
48,0.01,60,10000.0,0,52,0.0,0.4036023052645242,0.0
48,0.01,60,10000.0,1,55,0.0,0.39261436614615025,0.0
48,0.01,60,10000.0,2,52,0.0,0.3688425562725488,0.0
48,0.01,60,10000.0,3,54,0.0,0.4319477070521534,0.0
48,0.01,60,10000.0,4,53,0.0,0.38090279646506825,0.0
